,signal_date,entry_date,exit_date,days_held,outcome,exit_route,route_reason,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,init_stop_price,partial_at_%,partials_taken_n,remaining_frac,days_since_high
4,2025-10-27,2025-10-28,2025-11-25,19,STOP,fixed,chop:adx=10|vol_self,UPTREND,42.02,41.81,41.3,47.49,38.63,38.63,-6.47,-6.67,false,false,3.49,16.95,0.26,52.53,0.1,4.98,0.53,-0.06,10.47,52.28,-11.48,4897,1.74,38.63,,0,1,0
5,2025-09-23,2025-09-24,2025-10-14,13,STOP,fixed,chop:adx=18|vol_self,UPTREND,45.21,44.98,44.98,51.73,40.49,40.49,-10,-10.2,false,false,5.53,26.34,9.22,67.08,10.3,4.7,1.72,0.26,17.78,99.17,-10.11,36186,0.5,40.49,,0,1,0
6,2025-08-22,2025-08-25,2025-09-05,8,STOP,fixed,chop:sma200_flat,UPTREND,44.02,43.8,43.8,50.37,39.42,39.42,-10,-10.2,false,false,4.88,23.14,10.68,64.31,12.12,5.51,1.69,0.33,25,80.31,-12.48,234053,0.5,39.42,,0,1,0
7,2025-07-29,2025-07-30,2025-08-11,8,STOP,fixed,chop:sma200_flat|dist=13.8,UPTREND,41.07,40.86,40.77,46.89,36.7,36.7,-10,-10.2,false,false,3.07,13.83,13.26,73.58,12.9,4.64,2.08,0.55,22.34,114.17,-18.34,1581519,0.72,36.7,,0,1,0
8,2025-07-28,2025-07-29,2025-07-31,2,TARGET,fixed,chop:sma200_flat|dist=10.8,UPTREND,39.98,39.78,39.78,45.75,35.8,45.75,15,14.8,false,false,5.61,10.76,11.17,70.64,15.7,4.58,2.73,0.41,20.06,116.79,-20.5,1359649,0.5,35.8,,0,1,0
9,2025-07-25,2025-07-28,2025-07-31,3,TARGET,fixed,chop:adx=18|sma200_flat|dist=10.8,UPTREND,40.02,39.82,39.82,45.79,35.84,45.79,15,14.8,false,false,5.88,10.8,12.01,70.91,14.83,4.37,13.1,0.25,17.52,141.36,-20.42,1713139,0.5,35.84,,0,1,0
10,2025-04-16,2025-04-17,2025-04-30,8,STOP,fixed,chop:adx=19|sma200_flat|dist=-16.3,DOWNTREND,33.27,33.1,33.1,35.09,29.79,29.79,-10,-10.2,false,false,5.05,-16.32,12.67,63.17,18.9,6.93,8.78,0.58,19.49,120.26,-35.83,569570,0.5,29.79,,0,1,0
11,2025-01-30,2025-01-31,2025-02-12,9,STOP,fixed,chop:sma200_flat|dist=-8.4|vol_self,DOWNTREND,39.12,38.93,38.93,41.26,35.03,35.03,-10,-10.2,false,false,9.49,-8.42,5.04,55.32,2.67,5.79,9.08,-0.03,25.6,71.31,-39.12,386199,0.5,35.03,,0,1,0
12,2024-10-01,2024-10-03,2024-10-04,1,TARGET,fixed,chop:adx=8|dist=-0.5|vol_self,DOWNTREND,43.92,43.7,43,45.58,40.51,45.58,6,5.8,false,false,3.41,-0.51,1.66,53.2,2.25,4.06,1.96,0.12,8.39,77.43,-31.65,-65427,2.14,40.51,,0,1,0
13,2024-07-30,2024-07-31,2024-08-05,3,STOP,fixed,chop:dist=12.1|vol_self,UPTREND,47.78,47.54,47.54,54.67,42.79,42.79,-10,-10.2,false,false,1.24,12.1,2.8,58.2,3.19,5.07,1.7,-0.06,23.66,76.84,-25.64,352165,0.5,42.79,,0,1,0
