ticker,category,sector
AWHCL,SmallCap,
AWL,MidCap,Fast Moving Consumer Goods
AXISBANK,LargeCap,Financial Services
AXISCADES,SmallCap,
AXITA,SmallCap,
AYE,SmallCap,
AYMSYNTEX,SmallCap,
AZAD,SmallCap,
BAFNAPH,SmallCap,
BAGFILMS,SmallCap,
BAIDFIN,SmallCap,
BAJAJ-AUTO,LargeCap,Automobile and Auto Components
BAJAJCON,SmallCap,
BAJAJELEC,SmallCap,
BAJAJFINSV,LargeCap,Financial Services
BAJAJHCARE,SmallCap,
BAJAJHFL,MidCap,Financial Services
BAJAJHIND,SmallCap,
BAJAJHLDNG,LargeCap,Financial Services
BAJAJINDEF,SmallCap,
BAJAJST,SmallCap,
BAJEL,SmallCap,
BAJFINANCE,LargeCap,Financial Services
BALAJEE,SmallCap,
BALAJITELE,SmallCap,
BALAMINES,SmallCap,
BALAXI,SmallCap,
BALKRISHNA,SmallCap,
BALKRISIND,MidCap,Automobile and Auto Components
BALMLAWRIE,SmallCap,
BALPHARMA,SmallCap,
BALRAMCHIN,SmallCap,Fast Moving Consumer Goods
BALUFORGE,SmallCap,
BANARBEADS,SmallCap,
BANARISUG,SmallCap,
BANCOINDIA,SmallCap,
BANDHANBNK,SmallCap,Financial Services
BANG,SmallCap,
BANKA,SmallCap,
BANKBARODA,LargeCap,Financial Services
BANKINDIA,MidCap,Financial Services
BANSALWIRE,SmallCap,
BANSWRAS,SmallCap,
BASF,SmallCap,
BASML,SmallCap,
BATAINDIA,SmallCap,Consumer Durables
BATLIBOI,SmallCap,
BAYERCROP,SmallCap,Chemicals
BBL,SmallCap,
BBOX,SmallCap,
BBTC,SmallCap,Fast Moving Consumer Goods
BBTCL,SmallCap,
BCG,SmallCap,
BCLIND,SmallCap,
BCONCEPTS,SmallCap,
BCPL,SmallCap,
BDL,MidCap,Capital Goods
BEARDSELL,SmallCap,
BECTORFOOD,SmallCap,
BEDMUTHA,SmallCap,
BEEKAY,SmallCap,
BEL,LargeCap,Capital Goods
BELLACASA,SmallCap,
BELRISE,SmallCap,Automobile and Auto Components
BEML,SmallCap,Capital Goods
BENGALASM,SmallCap,
BEPL,SmallCap,
BERGEPAINT,MidCap,Consumer Durables
BESTAGRO,SmallCap,
BETA,SmallCap,
BFINVEST,SmallCap,
BFUTILITIE,SmallCap,
BGRENERGY,SmallCap,
BHAGCHEM,SmallCap,
BHAGERIA,SmallCap,
BHAGYANGR,SmallCap,
BHANDARI,SmallCap,
BHARATCOAL,SmallCap,
BHARATFORG,MidCap,Automobile and Auto Components
BHARATGEAR,SmallCap,
BHARATRAS,SmallCap,
BHARATSE,SmallCap,
BHARATWIRE,SmallCap,
BHARTIARTL,LargeCap,Telecommunication
BHARTIHEXA,MidCap,Telecommunication
BHEL,MidCap,Capital Goods
BI,SmallCap,
BIGBLOC,SmallCap,
BIKAJI,SmallCap,Fast Moving Consumer Goods
BIL,SmallCap,
BILVYAPAR,SmallCap,
BIMETAL,SmallCap,
BIOCON,MidCap,Healthcare
BIOFILCHEM,SmallCap,
BIRLACABLE,SmallCap,
BIRLACORPN,SmallCap,
BIRLAMONEY,SmallCap,
BIRLANU,SmallCap,
BIRLAPREC,SmallCap,
BLACKBUCK,SmallCap,
BLACKROSE,SmallCap,
BLAL,SmallCap,
BLBLIMITED,SmallCap,
BLIL,SmallCap,
BLISSGVS,SmallCap,
BLKASHYAP,SmallCap,
BLS,SmallCap,Consumer Services
BLSE,SmallCap,
BLUECHIP,SmallCap,
BLUECOAST,SmallCap,
BLUEDART,SmallCap,Services
BLUEJET,SmallCap,Healthcare
BLUESTARCO,MidCap,Consumer Durables
BLUESTONE,SmallCap,
BLUSPRING,SmallCap,
BMWVENTLTD,SmallCap,
BNAGROCHEM,SmallCap,
BNALTD,SmallCap,
BODALCHEM,SmallCap,
BOHRAIND,SmallCap,
BOMDYEING,SmallCap,
BONLON,SmallCap,
BORANA,SmallCap,
BOROLTD,SmallCap,
BORORENEW,SmallCap,
BOROSCI,SmallCap,
BOSCH-HCIL,SmallCap,
BOSCHLTD,LargeCap,Automobile and Auto Components
BPCL,LargeCap,Oil Gas & Consumable Fuels
BPL,SmallCap,
BRIGADE,SmallCap,Realty
BRIGHOTEL,SmallCap,
BRITANNIA,LargeCap,Fast Moving Consumer Goods
BRNL,SmallCap,
BROOKS,SmallCap,
BSE,MidCap,Financial Services
BSHSL,SmallCap,
BSL,SmallCap,
BSOFT,SmallCap,Information Technology
BTML,SmallCap,
BTTL,SmallCap,
BUILDPRO,SmallCap,
BUTTERFLY,SmallCap,
BVCL,SmallCap,
BYKE,SmallCap,
CALSOFT,SmallCap,
CAMLINFINE,SmallCap,
CAMPUS,SmallCap,
CAMS,SmallCap,Financial Services
CANBK,LargeCap,Financial Services
CANFINHOME,SmallCap,Financial Services
CANHLIFE,SmallCap,Financial Services
CANTABIL,SmallCap,
CAPACITE,SmallCap,
CAPILLARY,SmallCap,
CAPITALSFB,SmallCap,
CAPLIPOINT,SmallCap,Healthcare
CAPTRUST,SmallCap,
CARBORUNIV,SmallCap,Capital Goods
CARERATING,SmallCap,
